drink_name,drink_price,restaurant_address,restaurant_name,restaurant_tel,restaurant_url
"ザ・モルツ,エビス中瓶,オールフリー,ジムビームハイボール,しそ梅風味　トーキョーハイボール,コーラハイボール/ジンジャーハイボール/レモンハイボール,ライムハイボール/ライチハイボール/ピーチハイボール,マンゴーハイボール/カルピスハイボール/ゆずハイボール,巨峰ハイボール/オレンジハイボール/パインハイボール,【えびすフルーツサワー】追いサワー,レモンサワー,梅ぇ横丁の男梅サワー,ライムサワー/ゆずサワー/巨峰サワー/ライチサワー/オレンジサワー/ピーチサワー,コーラサワー/パインサワー/カルピスサワー/カルピスピーチサワー/カルピス巨峰サワー/マンゴーサワー,梅酒,大関　蔵出し（辛口）,カシス（オレンジ/ソーダ/グレープ/コーラ/ウーロン）,ライチ（オレンジ/ソーダ/グレープ/コーラ/ウーロン）,ピーチフィズ/ファジーネーブル/レゲエパンチ,モヒート/モヒートコーラ/モヒートジンジャー/オレンジモヒート/マンゴーモヒート,サムライロック（日本酒＋ライム）,翠ジンソーダ/翠ジンソーダレモン/翠ジンジンジャー,あらごしりんご/あらごしみかん/あらごしゆず,あらごし梅酒/あらごしもも/ふわとろパイン,ウーロンハイ/緑茶ハイ,翠ジン緑茶ハイ,芋　黒霧島/麦　二階堂,しそ　鍛高譚,グラスワイン（赤・白）,赤玉パンチ,コークライム/コークレモン/オレンジコーク,コークパイン/コークグレープ/コークマンゴー,ライムジンジャー/レモンジンジャー/オレンジジンジャー,パインジンジャー/グレープジンジャー/マンゴージンジャー,コーラ/ジンジャーエール/オレンジジュース,レモンソーダ/ライムソーダ/ゆずソーダ,巨峰ソーダ/マンゴーソーダ/パインソーダ/ピーチソーダ,ウーロン茶/緑茶/マンゴージュース/パインジュース,カルピス/カルピスソーダ/カルピスピーチソーダ/カルピス巨峰ソーダ","[429, 550, 495, 418, 429, 418, 418, 418, 418, 280, 418, 429, 418, 418, 462, 638, 418, 418, 418, 418, 418, 429, 528, 528, 418, 462, 638, 528, 462, 495, 385, 385, 385, 385, 319, 319, 319, 319, 319]",大阪府大阪市北区曽根崎２-13-18,大漁個室　海鮮　最大160品食べ飲み放題　エビスちゃん酒場　梅田店,050-5841-8635,https://www.hotpepper.jp/strJ001291621/
"超炭酸ビームハイ,超炭酸ビームハイ　濃いめ,超炭酸ビームハイ　MEGA,柚子/巨峰/カルピス　ハイボール,ジムコーク／ジムジンジャー,角ハイボール,角ハイボール　MEGA,角ハイコーラ / 角ハイジンジャー,メーカーズハイボール,角ハイボール　濃い目,赤玉ぶどうサワー,赤玉ジンジャー,赤玉コーラ,赤玉　MEGA,【グラス】デリカメゾン　赤 or 白,ワインカクテル,ヤルンバ　赤・白　ボトル,こだわり酒場のレモンサワー,濃いめこだわり酒場のレモンサワー,酎ハイ×サワー各種,ザ・プレミアムモルツ,ザ・プレミアムモルツ　タンブラー,オールフリー（ノンアルコールビールテイスト飲料）,【ビール】ビアカクテル,カシス,ピーチ,ライチ,ウォッカ,ジン,モクテル　各種,ふるふる完熟マンゴー梅酒,梅仙人 たんかん梅酒,ちえびじん 紅茶梅酒,あらごし みかん,あらごし もも,大和美人,日向へべすのおいしいお酒,[芋] すごいも,[芋] 黒霧島,[芋] 島美人,[芋] 富乃宝山,[芋] 赤兎馬,[麦] すごむぎ,[麦] 中々,[麦] 兼八,[そば] 八重桜,[黒糖] 氣 白麹,[泡盛] 久米仙,[ごま] 紅乙女,【長崎/矢野酒造】横山50 純米大吟醸　一合,【山口/旭酒酒造】獺祭 純米大吟醸　磨き三割九分　一合,【福岡/井上合名】三井の寿 純米吟醸　一合,【佐賀/天吹酒造】ぴんくれでぃ 日本酒中辛口　一合,【福岡/いそのさわ】駿 純米吟醸酒　一合,【大分/浜嶋酒造】鷹来屋 特別純米酒　一合,【佐賀/五町田酒造】東一 純米酒　一合,【福岡/井上合名】美田辛醸 山廃純米大辛口　一合,【佐賀/天吹酒造】天吹 特別純米酒　一合,【福岡/山口酒造場】鶯辛 庭のうぐいす本醸造　一合,その他日本酒　熱燗・冷酒　 一合,ソフトドリンク","[380, 480, 660, 530, 430, 500, 750, 550, 650, 600, 380, 430, 430, 660, 450, 500, 3600, 380, 480, 400, 580, 450, 400, 500, 450, 450, 450, 450, 450, 450, 750, 750, 700, 700, 700, 500, 700, 500, 600, 750, 650, 750, 500, 700, 750, 600, 600, 600, 600, 900, 900, 700, 800, 800, 700, 800, 700, 700, 800, 600, 380]",大阪府大阪市北区角田町１－１　地下１Ｆ,個室 もつ鍋 泳ぎイカ 九州うまか 梅田店,050-5834-2760,https://www.hotpepper.jp/strJ000973173/
"ザ・モルツ,マッコリビール、シャンディガフ、ディーゼル、ダブルカルチャード,ハイボール,ジンジャーハイボール、コークハイボール,レモンハイボール、巨峰ハイボール、ライムハイボール、カルピスハイボール、ライチハイボール,マスカット、すもも、グレープフルーツ、ストロベリー,桃、ざくろ、ブルーベリー、マンゴー、ゆず,マスカット、すもも、グレープフルーツ、ストロベリー,桃、ざくろ、ブルーベリー、マンゴー、ゆず,ザクロ×ミックスベリー、パイン×パイン、マスカット×ぶどう、オレンジ×オレンジ、マンゴー×マンゴー,オレンジ,マンゴー,ソウルマッコリ,巨峰マッコリ、ライチマッコリ、カルピスマッコリ、カシスマッコリ、ピーチマッコリ,カシスオレンジ、カシスソーダ、カシスウーロン、カシスコーラ,ピーチフィズ、ファジーネーブル、レゲエパンチ,ライチオレンジ、ライチソーダ、ライチウーロン、ライチコーラ,レモンサワー、ライムサワー、巨峰サワー、カルピスサワー、ライチサワー,プラムコーラ、プラムオレンジ、プラムバック,二階堂,黒霧島,ウーロン茶、コーラ、ジンジャーエール、オレンジジュース、カルピス、カルピスソーダ,チルソンソーダ、白ブドウボンボン、梨ボンボン、桃ボンボン,美酢ソーダ（ザクロ、パイン、マスカット、オレンジ、マンゴー）","[550, 550, 462, 462, 462, 1078, 1078, 528, 528, 583, 638, 638, 528, 528, 462, 462, 462, 462, 462, 462, 462, 385, 385, 385]",大阪府大阪市北区曽根崎２-10-15 曽根崎センタービル4F,韓国屋台酒場　韓ラブ -LOVE-　梅田店,050-5499-6264,https://www.hotpepper.jp/strJ003411787/
"生ビール,シャンディガフ／マッコリビア,プレーンハイボール,コークハイ／ジンジャーハイ,美酢（ミチョ）,カラマンシーハイ,ジョウンディ,チャスミル,マッコリ　プレーン　グラス,桃マッコリ　グラス,バナナマッコリ　グラス,マスカットマッコリ　グラス,プレーン/レモン/キウイ/ベリー/グレープフルーツ/オレンジ/いちご/マンゴー,美酢サワー,レモン/キウイ/ミックスベリー/グレープフルーツ/りんご/オレンジ/マンゴー,追いサワー,カシスソーダ,カシスオレンジ,カシスミルク,ピーチフィズ,ファジーネーブル,ピーチミルク,ウーロン茶/オレンジジュース/コカ・コーラ/ジンジャーエール,美酢ソーダ,ヘテ梨ジュース,ヘテすりおろし桃ジュース,ヘテポンポンぶどうジュース,セクセクオレンジ,チルソンサイダー,ミルキス,チーズミルクティー,チーズいちごミルク,チーズ抹茶ミルク,マカフラッペミルクティー,マカフラッペいちごミルク,マカフラッペ抹茶ミルク,ダルゴナコーヒー,ダルゴナいちごミルク,ダルゴナ抹茶ミルク","[528, 495, 495, 528, 528, 528, 858, 858, 440, 495, 495, 495, 418, 528, 528, 418, 495, 495, 495, 495, 495, 495, 352, 407, 418, 418, 418, 418, 418, 418, 858, 858, 858, 924, 924, 924, 715, 715, 715]",大阪府大阪市北区堂山町６－３,チーズ×チキン　ペゴパヨ　梅田東通り店,050-5453-4570,https://www.hotpepper.jp/strJ001261077/
"生ビール,レッドアイ,シャンディガフ,ディーゼル,ジントニック,ジンバック,ジンフィズ,ギムレット,ラムコーク,ラムジンジャー,ラムバック,モスコミュール,スクリュードライバー,ブルドッグ,ウォッカトニック,カミカゼ,セックスオンザビーチ,メキシコーク,テキーラサンライズ,ショットガン,コークハイ,ロングアイランドアイスティー,カシス,カルーア,カンパリ,ヨギー,マリブ,フランポワーズ,ピーチ,ボルス メロン,パライソ,コアントロー,パッソア,白ワイン,赤ワイン,オペレーター,カーディナル,キール,キティ,ハイボール,ジンジャーハイボール,キジムナー,島サンライズ,芋焼酎,麦焼酎,日本酒,梅酒,ウーロン茶,コーラ,ジンジャエール,オレンジジュース,パインジュース,グレープフルーツ,カルピス","[550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 660, 770, 550, 550, 550, 550, 880, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550]",大阪府大阪市北区曽根崎１-7-13 レイソル曽根崎ビル 5階,貸切＆完全個室　肉バル×食べ飲み放題　イタリアンDining　face　大阪　東梅田店,050-5281-5590,https://www.hotpepper.jp/strJ001135024/
"サングリア（赤）,サングリア（白）,キティサングリア（赤サングリア+ジンジャーエール）,スプリッツァサングリア（白サングリア+ソーダ）,カステル・ロック・カヴァ／セントノーレ (G),バッカネラ／ロダレ　ルージュ／バロンキンズモア カベルネソーヴィニヨン／アバダルレセルバ3.9（G）,ソプラノ／ロダレ　ブラン／バロンキンズモア　リセルヴァソーヴィニインブラン／アバダルピかポル (G),カシスオレンジ／ファジーネーブル／キティetc.,アサヒ スーパードライ／シャンディガフ／フルーツビア3種,アサヒ　ドライゼロ（ノンアルコールビール）,紀土-KID- 純米酒 （和歌山）／八海山（新潟）／播州一献（兵庫）,もぎたて梅酒／柚子梅酒／鶴梅　完熟にごり梅酒,【 麦 】/中々/兼八など,【 芋 】金黒／富乃宝山,ウーロン茶/コカ・コーラ/ジンジャーエール/オレンジジュース/グレープフルーツジュース,コーヒー／紅茶","[770, 770, 770, 770, 770, 770, 770, 715, 770, 715, 715, 660, 715, 715, 550, 550]",大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,日本料理＆SKY BAR　ちょうつがひ,06-6131-2242,https://www.hotpepper.jp/strJ001000918/
"【日本酒】国稀　純米,【焼酎】インカの目覚め,クラフトラム　マンゴー,アサヒスーパードライ,ドライゼロ,レモンサワー,ライムサワー,生搾りレモンサワー,生搾りライムサワー,緑茶ハイ,ウーロンハイ,紅茶ハイ,カルピスサワー,白桃サワー,パインサワー,マンゴーサワー,ストロベリーサワー,パッションフルーツサワー,日本酒,月桂冠　生酒,京山水　特別純米,福岡　博多の森　純米,熊本　美少年　純米,黒霧島(芋),一番札（麦）,れんと(黒糖),金黒（芋）,金黒タンサン,ハイボール,コークハイボール,ジンジャーハイボール,エナジーハイボール,グラスワイン（赤）,グラスワイン（白）,カシスオレンジ,カルーアミルク,ジントニック,ジンバック,ジンコーク,ファジーネーブル,ピーチフィズ,オレンジブロッサム,ピーチウーロン,カシスウーロン,カシスソーダ,すっきり梅酒,紀州南高梅酒,コーラ,ジンジャーエール,オレンジジュース,カルピスソーダ,カルピスウォーター,エナジードリンク,ウーロン茶,緑茶","[900, 530, 600, 580, 550, 450, 450, 550, 550, 450, 450, 450, 450, 450, 450, 450, 450, 450, 550, 850, 800, 800, 800, 530, 530, 530, 530, 530, 450, 480, 480, 480, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 450, 550, 350, 350, 350, 350, 350, 350, 350, 350]",大阪府大阪市北区曽根崎２－１５－２０　SWINGうめだ６階,個室海鮮居酒屋　石狩漁場　梅田お初天神店,050-5828-9372,https://www.hotpepper.jp/strJ001001571/
"角ハイボール,トリスハイボール,マス男さん角ハイ,マス男さんトリハイ,「名物」勝男トリハイ,しょうがレモントリハイ,コーラトリハイ,ジンジャートリハイ,カルピストリハイ,ゆずトリハイ,ゴールデントリハイ,「知多」風香るハイボール,レモンサワー,たっぷり果肉レモンサワー,カルピスサワー,ゆずサワー,かぼすサワー,白桃サワー,男前梅サワー,ゴールデンサワー,トマトサワー,緑茶ハイ,ウーロンハイ,サントリー ザ・プレミアムモルツ 中,サントリー ザ・プレミアムモルツ お得ジョッキ,麦焼酎,芋焼酎,一合,カシスソーダ,カシスオレンジ,マンゴージンジャー,マンゴーオレンジ,シャンディ・ガフ,ワインロック（赤）,ワインロック（白）,紀州産南高梅酒（ロック・ソーダ割り）,ぽってり桃酒,ぽってりみかん酒,ぽってりマンゴー酒,ソウルマッコリ　グラス（150ml）,ソウルマッコリ　ボトル（1000ml）,ほどよい“優”ホワイトサワー,ほどよい“優”トロピカルピーチ,ほどよい“優”ファジーネーブル,ほどよい“優”沖縄風サワー,オールフリー,ウーロン茶,緑茶,コーラ,ジンジャーエール,オレンジジュース,かぼすソーダ,カルピス,リアルゴールド","[220, 165, 418, 308, 275, 328, 328, 328, 328, 328, 363, 328, 328, 372, 341, 341, 341, 341, 341, 363, 363, 385, 385, 198, 286, 385, 385, 385, 438, 438, 438, 438, 438, 385, 385, 385, 438, 438, 438, 385, 1628, 330, 330, 330, 330, 308, 165, 165, 165, 165, 165, 165, 165, 198]",大阪府大阪市北区曽根崎２－７－１３,お初天神応援団　勝男,050-5452-6150,https://www.hotpepper.jp/strJ001259280/
"キリン一番搾り,シャンディーガフ,ハイボール,コークハイ,ジンジャーハイ,レモンサワー,ライムサワー,カルピスサワー,ブドウサワー,ゆずサワー,カシス,ウォッカ,ピーチ,ジン,宝焼酎,茉莉花,二階堂,黒霧島,チャミスル各種,烏龍茶,ジャスミン茶,コーラ,ジンジャーエール,オレンジ,炭酸水","[440, 462, 385, 440, 440, 418, 418, 418, 418, 418, 440, 440, 440, 440, 462, 495, 495, 495, 1056, 308, 308, 308, 308, 308, 308]",大阪府大阪市北区曽根崎２丁目 16-22 ジャスミン曽根崎ビル9F,最大165品　食べ放題 飲み放題　大衆居酒屋　梅田スタンド　梅田店,050-5816-3131,https://www.hotpepper.jp/strJ001277115/
"キリン一番搾り,サッポロ黒ラベル (大瓶),サッポロ赤星 (中瓶),キリンクラシックラガー (大瓶),アサヒスーパードライ (大瓶),シャンディガフ,レッドアイ,キリン零一,プレーン,レモン,ライム,カルピス,トマト,バイス,リンス,男梅サワー,キウイ,ライチ,マンゴー,ラムネ,ハイボール,ジンジャーハイ,コークハイ,梅酒,まるごとイチゴサワー,MIXベリーサワー,冷凍マンゴーサワー,ベビーみかんサワー,パインサワー,冷凍白桃サワー,果肉たっぷりキウイサワー,【割瓶・割缶】 ホッピー白,【割瓶・割缶】 各種,白鶴　小,白鶴　大,黒霧島,ベニハルカ,二階堂,鍛高譚,烏龍茶,カルピス,コーラ,ジンジャーエール,ラムネ,つぶみオレンジ,クリメロ,野菜ジュース,午後ティー,みっくちゅじゅーちゅ,CCレモン,いちごミルク,デカビタC,メロンクリームソーダ,ラムネクリームソーダ","[390, 550, 500, 550, 550, 420, 420, 420, 250, 330, 330, 330, 330, 330, 330, 330, 450, 450, 450, 495, 330, 350, 350, 390, 450, 450, 450, 450, 450, 450, 450, 350, 330, 400, 800, 390, 450, 390, 420, 280, 280, 280, 280, 330, 330, 330, 330, 330, 330, 330, 330, 330, 450, 450]",大阪府大阪市北区梅田１丁目1-3 B1-25,大衆食堂うめだホール,050-5815-5546,https://www.hotpepper.jp/strJ001269975/
